name,title,company,bio,headshot_filename,linkedin_url
Diana Stepner,Head of Product and Startup Executive,,"Diana is an established product leader who served as Vice President of Product at organizations including Chan Zuckerberg Initiative, Pearson, Kayak, SimplePractice, and Monster.com.",diana_stepner.jpg,
Fritz Lanman,CEO,ClassPass & MindBody,"Fritz is the CEO at ClassPass which attained unicorn status in 2019 with a $285M financing round. He led Microsoft's $240M Facebook investment in 2007, a deal now worth over $8 billion.",fritz_lanman.jpg,
Krishna Dosapati,Founder & CEO,Clockout,"Krishna is the Founder and CEO of the fastest-growing networking app Clockout, achieving $1.1M ARR in 10 months with over 500,000 downloads during their pre-seed beta.",krishna_dosapati.jpg,
Chris Tsakalakis,ex-President and Venture Partner,StubHub and Serac Ventures,"Chris has served in key C-Suite roles including President and CEO of StubHub, Vivino, and Kiva. He is currently the Managing Partner at Trefo and a Venture Partner through Serac Ventures.",chris_tsakalakis.jpg,
Jayme Strauss,Chief Commercial Officer,Precision Neuroscience,"Jayme has pioneered clinical advancements in Neurotech, Healhcare, AI, and Medical Devices for over 15 years across multiple startups including Viz.ai and Precision Neuroscience.",jayme_strauss.jpg,
David Adeleke,Co-Founder and CEO,Zeeh Africa,"David is the Co-Founder and CEO of Zeeh Africa, a FinTech startup driving financial inclusion across Africa. He has served as a mentor and advisor for dozens of companies across the globe.",david_adeleke.jpg,
Chase Brignac,CEO & Co-Founder,ChatOpenSource,Chase is the Technical CEO and Founder at ChatOpenSource which is an On-Premise and Auditable ChatGPT platform. He graduated YCombinator's 22' Batch driving Generative AI.,chase_brignac.jpg,
Sam Bradley,Director of Product,PayPal,"Sam is an experienced product leader who has led global product teams at world-renowned companies including Expedia Group, Quizlet, Stitch Fix, and most recently PayPal.",sam_bradley.jpg,
Bipasha Ghosh,Chief Marketing Officer,Dali Spaces,"Bipasha is the CMO at Dali Spaces, an educational community for women entrepreneurs. Prior to that she served as Vice President of International Marketing at NBC Universal and Head of Marketing at BBC World.",bipasha_ghosh.jpg,
Jason Jacobsohn,Managing Partner & Founder,Propellant Ventures,Jason has worked with thousands of startups and multiple VC's supporting 14 different industries. He also serves as the Director of the Chicago Founder Institute organization.,jason_jacobsohn.jpg,
Ankur Jain,CTO and Founder,Carallel and Sprout,Ankur is the Chief Technology Officer at Carallel and has served as an advisor for other Series A startups including Cohart. His previous roles included time as the VP of Architecture and Engineering at Groupon and Chief Architect at Walgreens.,ankur_jain.jpg,
